"","kX2","kX3","kX4"
"GSM416528",2,2,2
"GSM416529",2,2,2
"GSM416530",2,2,2
"GSM416531",2,2,2
"GSM416532",2,1,1
"GSM416533",1,1,3
"GSM416534",1,1,1
"GSM416535",2,1,1
"GSM416536",1,1,3
"GSM416537",2,1,1
"GSM416538",2,2,2
"GSM416539",2,1,1
"GSM416540",1,1,3
"GSM416541",2,1,1
"GSM416542",1,1,3
"GSM416543",2,1,1
"GSM416544",1,1,3
"GSM416545",2,2,4
"GSM416546",2,2,1
"GSM416547",2,2,4
"GSM416548",2,2,4
"GSM416549",1,3,3
"GSM416550",2,2,2
"GSM416551",2,2,4
"GSM416552",1,3,3
"GSM416553",2,2,2
"GSM416554",2,2,2
"GSM416555",2,2,2
"GSM416556",2,2,1
"GSM416557",2,2,1
"GSM416558",2,2,2
"GSM416559",1,1,1
"GSM416560",2,2,2
"GSM416561",2,2,2
"GSM416562",2,1,1
"GSM416563",2,2,2
"GSM416564",2,2,2
"GSM416565",1,1,1
"GSM416566",2,1,1
"GSM416567",2,2,2
"GSM416568",1,3,4
"GSM416569",1,3,4
"GSM416570",2,2,2
"GSM416571",1,1,3
"GSM416572",1,1,3
"GSM416573",1,1,3
"GSM416574",1,3,3
"GSM416575",1,1,3
"GSM416576",1,1,3
"GSM416577",1,3,3
"GSM416578",1,3,4
"GSM416579",2,3,4
"GSM416580",1,3,4
"GSM416581",1,3,4
"GSM416582",1,3,4
"GSM416583",1,3,4
"GSM416584",1,3,4
"GSM416585",2,3,4
"GSM416586",1,3,3
"GSM416587",1,3,3
"GSM416588",1,3,4
"GSM416589",1,3,4
"GSM416590",1,3,3
