"module","moduleLabel","gene","kWithin"
2,"blue","RPS4Y1",NA
2,"blue","FCGR3A",NA
2,"blue","PTMA",NA
2,"blue","EVI2B",NA
2,"blue","GIMAP7",NA
2,"blue","EIF1AY",NA
2,"blue","APOBEC3A",NA
2,"blue","FCGR3B",NA
2,"blue","TMSB4X",NA
2,"blue","LGALS3",NA
1,"turquoise","IFI27",NA
1,"turquoise","CA1",NA
1,"turquoise","KRT1",NA
1,"turquoise","SLC4A1",NA
1,"turquoise","SELENBP1",NA
1,"turquoise","FAM46C",NA
1,"turquoise","EPB42",NA
1,"turquoise","TRIM58",NA
1,"turquoise","HBD",NA
1,"turquoise","ALAS2",NA
8,"pink","IFI44L",NA
8,"pink","IFIT1",NA
8,"pink","IFITM3",NA
8,"pink","RSAD2",NA
8,"pink","IFI6",NA
8,"pink","MX1",NA
8,"pink","IFI44",NA
8,"pink","HERC5",NA
8,"pink","IFIT3",NA
8,"pink","EPSTI1",NA
3,"brown","ORM1",NA
3,"brown","MMP9",NA
3,"brown","S100P",NA
3,"brown","ARG1",NA
3,"brown","FOLR3",NA
3,"brown","CA4",NA
3,"brown","MCEMP1",NA
3,"brown","ALPL",NA
3,"brown","PGLYRP1",NA
3,"brown","IL18RAP",NA
6,"red","LY96",NA
6,"red","PTGS2",NA
6,"red","RPS23",NA
6,"red","RGS18",NA
6,"red","GNG10",NA
6,"red","BAZ2B",NA
6,"red","CPD",NA
6,"red","CAPZA2",NA
6,"red","GPR160",NA
6,"red","RBP7",NA
4,"yellow","HLA-DQA1",NA
4,"yellow","GNLY",NA
4,"yellow","CCR7",NA
4,"yellow","VPREB3",NA
4,"yellow","GZMK",NA
4,"yellow","NELL2",NA
4,"yellow","CD79A",NA
4,"yellow","MAL",NA
4,"yellow","CD19",NA
4,"yellow","FCGR1B",NA
5,"green","HINT1",NA
5,"green","CD52",NA
5,"green","RPL17",NA
5,"green","RPS15A",NA
5,"green","RPL27",NA
5,"green","KLRB1",NA
5,"green","MYADM",NA
5,"green","EEF1B2",NA
5,"green","TBC1D10B",NA
5,"green","RPL13A",NA
7,"black","FKBP8",NA
7,"black","MFGE8",NA
7,"black","HLA-DMA",NA
7,"black","PLSCR3",NA
7,"black","KRTCAP2",NA
7,"black","SLC2A6",NA
7,"black","HOXB2",NA
7,"black","YWHAE",NA
7,"black","CD300C",NA
7,"black","MTMR11",NA
